nom.sg,nom.pl,acc.sg,acc.pl,translation,gloss,noun_class
ìcɔ̀,lʊ̀cɔ̀,ìcɔ̀,lʊ̀cɔ̀,badness/bad person (?),badness,k/l
ìcə̀là,lə̀cə̀là,,,good person/people,good.person,k/l
ŋə̀cə̀là,,,,goodness,goodness,ŋ
lɛŋg,,líŋgɛ́n ,,mother,mother,l/
,,ðìɲú,,something,something,
ðɛt̪,rɛt̪,,,father,father,ð/r
ŋàɲà ŋâɲà,,,,grass,grass,
,,ɛ̀ŋná,,roof (=house?),roof,
lə̀bú,,,,well,well,
ðɔ́rndɛ̀,ɔ̀ɾndɛ̀,,,wheat (seed or plant),wheat,
lɔ̀n,ŋɔ̀n,,ŋɔ̀nà,sorghum (seed),sorghum,l/ŋ
ðɛ̀bɛ̀r,,,,wind,wind,
mùðù,mùðù,muðɔ,,leopard,leopard,k/n
wɛ́n,lájlɛ́n,wɛ̌n,làjlɛ́n,wife,wife,k/l
l̀ná,ŋə̀ná,l̀ná,ŋ̀ná,hut,hut,l/ŋ
ðɾɔ́,ìrɔ́,ðə̀rɔ́,ìrɔ́,hair,hair,ð/j
kúɽì,,kúɽì,,forest,forest,k
ájà  àíà,ájàŋá,ájáŋ̀,ájàŋá,mother,mother,k/l
ùɾì  úɾí,lúɾí  lúɾí,ùɾì,lùɾì,rat,rat,k/l
ðî  ðíj̀,rî,ðíjɛ́,ríjɛ́,thorn,thorn,ð/r
ðô  ðóẁ,rô  róẁ,ðówɛ́ ðúwɛ́,rowɛ,stick (bamboo stick),stick,ð/r
âl  ál̀,nâl,álɛ́,nálɛ́,"stone, grinding stone",stone,k/
lɛ́ɲ,ŋɛ́ɲ,lɛ́ɲɛ́,ŋɛ́ɲɛ́,egg,egg,l/ŋ
ŋɛ́n,ɲɛ́n,ŋɛ́nɛ́,ɲɛ́nɛ́,dog,dog,ŋ/ɲ
ŋáó,,ŋávɛ́,,water,water,ŋ
dún,,dúnŋù,,home,home,k
ðé,ré,ðé,ré,hand,hand,ð/r
ðár,jár,ðár,,rope,rope,ð/j
lán,ŋán,lán,ŋán,"milk, drop of milk",milk,l/ŋ
ɔ́j,láj,ɔ́j,láj,"bee, honey",bee/honey,k/l
tá,ŋtá,tá,ŋ̀tá,head,head,l/ŋ
ŋám,,ŋám,,spider web,spider.web,ŋ
ɔ́rɔ̂ð,,ɔ́ɾɔ́ðɛ́,,curse,curse,k
ɛ́lê,nɛ́lê,ɛ́léɲɛ́ ɛ́lê,nɛ́lé nɛ́léɲé,"king, chief",king,k/n
ŋúɽî,ɲúɽî,ŋúɽíɲɛ́,ɲúɽíɲɛ́,axe,axe,ŋ/ɲ
rɔ́mɔ̂,ŋ́rɔ́mɔ̂,rɔ́mɔ̂,ŋ́rɔ́mɔ̂,ram,ram,l/ŋ
ɲáŋgɔ̂,,ɲáŋgɔ̂,,Tira dance style,Tira.dance.style,ɲ
ðɛ́ŋɛ́n,kàðɛ́ŋɛ́n,ðɛ́ŋɛ́ná,kàðɛ́ŋɛ́nɛ́,"sound, letter",sound,ð/l
ácám,nácám,ácámá,nácámá,civet,civet,k/n
ámál,námál,ámálá  ámál  ámálɛ́  àmál,námál námálá,boy,boy,k/n
lúmɔ́n,ŋúmɔ́n,lúmɔ́ná,ŋúmɔ́ná,piece of charcoal,charcoal.piece,l/ŋ
lɔ́rɔ́,ŋɔ́rɔ́,lɔ́rá,ŋɔ́rá,back (body part),back,l/ŋ
ɛ́ɾɛ́,nɛ́ɾɛ́,ɛ́ɾá,nɛ́ɾá,fence,fence,k/n
lɔ́mɔ́n,ŋɔ́mɔ́n,lɔ́mɔ́nɛ́,ŋɔ́mɔ́nɛ́,day,day,l/ŋ
ðóɾó,óɾó,ðɔ́ɾɛ́,ɔ́ɾɛ́,support pole for roof,support.pole,ð/k
ɜ́ɾú,nɜ́ɾú,ɛ́rɛ́,nɛ́ɾɛ́,water skin,waterskin,k/n
órá,ŋɔ̀rà,órɛ́,ŋɔ̀rà,child,child,k/ŋ
ŋɔ́ðɔ́,ɲɔ́ðɔ́,ŋɔ́ðɛ́,,goat (male),billy.goat,ŋ/ɲ
ɛ́lɔ́,,ɛ́lɔ́ŋú,,God,God,k
ɜ́ɾʊ́,nɜ́rʊ́,ɜ́ɾʊ́,,bird's nest/leather bowl/spider web,nest/web/bowl,k/n
ɛ́ɽɛ́,,ɛ́ɽɛ́,,inside house,inside.house,k
tút̪ú,ŋùt̪ut̪ú,tút̪ú,ŋwùt̪út̪ú,roof (of house),roof,l/ŋ
lʊ́mbɛ́,ŋʊ́mbɛ́,lʊ́mbɛ́,,skirt (traditional),traditional.skirt,l/ŋ
lɔ́mɛ́,ŋɔ́mɛ́,lɔ́mɛ́,,rain/rain drop(s); plural is a bit unnatural,rain,l/
ðɔ́lá,ɔ́lá,ðɔ́lá,,"animal (domestic; cows, sheep, camels); body hair (of humans or animals)",domestic.animal/body.hair,ð/k
ðámlá,jámlá,ðámlá,,camel,camel,ð/j
ɛ́lɔ́,,ɛ́lɔ́,,"top, sky",top/sky,k
íjɔ́,,íjɔ́,,"fire, gun",fire/gun,j
íɾí,níɾí,írí,nírí,trough,trough,k/n
lárɔ́,ŋárɔ́,láró,ŋáró,"rock, boulder",rock,l/ŋ
líjɔ́,ŋíjɔ́,líjɔ́,ŋíjɔ́,poison/pain,poison/pain,l/ŋ
lúgɔ́,ŋúgɔ́,lúgɔ́,ŋúgɔ́,"dress, shirt",dress/shirt,l/ŋ
súɽú,,súɽú,,"beer, wine",beer/wine,s
lúcɔ́,ŋúcɔ́,lúcɔ́,ŋúcɔ́,soup (SG = drop of soup),soup,l/ŋ
ðɛ́l,rɛ́l,ðɛ́l,rɛ́l,grave,grave,ð/r
ðɜ́ɽí,rɛ́ɽí,ðɜ́ɽí,rɜ́ɽí,wound,wound,ð/r
úðɔ́,,úðɔ́,,breath,breath,k
ðɔ́lá,ɔ́lá,ðólá,ɔ́lá,flour; pollen grains of flower,flour/pollen,ð/k
ŋə́rt̪á,,ŋə̀rt̪á,,"word, words",word,ŋ
írdɔ́,ndŕdɔ́,írdɔ́,,knife,knife,k/
ɜ́rú,nɜ́rú,ɜ́rú,nɜ́rú,spider web,spider.web,k/n
lácɔ́,ŋácɔ́,lácɔ́,ŋácɔ́ ŋɔ́cɛ́ ,"mud, drop of mud",mud,l/ŋ
lídí,ŋídí,lídɔ́,ŋídɔ́,"pot, clay pot",pot,l/n
lɔ́vɛ́ɽɛ́,ŋɔ́vɛ́ɽɛ́,lɔ́vɛ́ɽá,,flower,flower,l/ŋ
álpʊ́ɾɔ́,nálpʊ́ɾɔ́,álpúɾɔ́,nálpúɾɔ́,skin,skin,j/n
lípíjɔ́,ŋípíjɔ́,lípíjɔ́,ŋípíjɔ́,mushroom sp.,mushroom.sp.,l/ŋ
ámúðɛ́,,ámúðɛ́,,Tira dance style and ceremony,Tira.dance.ceremony,k
âɾò,lâɾò,óɾɛ́,láɾɛ́,"chicken, hen",chicken/hen,k/l
kârɔ̀,nàlkârɔ̀,kârɔ̀,nàlkârɔ̀,cart,cart,k/n
lrɔ̂bà,ŋrɔ̂bà,lrɔ̂bà,ŋrɔ̂bà,medicine,medicine,l/ŋ
ðɔ̂ɾà,jɔ̂ɾà,ðɔ̂ɾà,jɔ̂ɾà,fence,fence,ð/j
cúcù,,cucɔ,,beads (PL),beads,tʃ
kámàɽà,kámàɽàŋá,kámàɽà,kámàɽàŋá,friend (casual),casual.friend,k/l
ðù,rù,ðʊ́vɛ́,rʊ́vɛ́,heart,heart,ð/r
òn,nùn,únɛ́,núnɛ́,porcupine,porcupine,k/n
bàcʊ̂m,nàlbàcʊ̂m,bàcʊ́mɛ́,nàlbàcʊ́mɛ́,fox,fox,k/n
ɛ̀ɾâð,ǹdrâð,ɛ̀ɾáðɛ́,ndráðɛ́,"cloth, clothing, clothes",clothing,k/n
làɾân,ŋàɾân,làɾánɛ́,ŋàɾánɛ́,basket (made of palm leaves),palm.leaf.basket,l/ŋ
àdám,nàdám,àdámá,nàdámá,book,book,j/n
lə̀və́r,ŋə̀və́r,lə̀və́rá,ŋə̀və́rá,field,field,l/ŋ
lə̀mɔ́ð,ŋə̀mɔ́ð,lə̀mɔ̀ðá,ŋɔ̀mɔ̀ðá,log,log,l/ŋ
lòló,ŋòló,lòlá,,elbow,elbow,l/ŋ
òló,nòló,òlá,,sieve,sieve,k/n
lə̀ré,ŋə̀ré,lɛ̀rá,ŋɛ̀rá,bowl,bowl,l/ŋ
lɛ̀mbré,nɛ̀mbré,lə̀mbrá,ŋə̀mbrá,bedsheet,bedsheet,l/n
lɔ̀t̪ɔ́,ŋɔ̀t̪ɔ́,lɔ̀t̪á  lɔ̀t̪ɔ́,,prison,prison,l/ŋ
lɛ̀mɛ́,ŋɛ̀mɛ́,lɛ̀má,ŋɛ̀má,chin,chin,l/ŋ
ðə̀máɽ,,ðə́máɽðá,,curse,curse,ð
ɪ̀lɛ́ð  ɪ̀lɛ́ð,nìlɛ́ð,ɪ̀lɛ́ðɛ́,,hoe,hoe,k/n
ŋùðɛ́r,,ŋùðɛ́ɾɛ́,,sleep,sleep,ŋ
ðɔ̀ɽár,jɔ̀ɽár,ðòɽáɾɛ́,jùɽáɾɛ́,tiger,tiger,ð/j
àúr,nàúr,àúɾɛ́,nàúɾɛ́,door,door,j/n
àjén,nàjén,àjènɛ́,nàjèné,"hill, mountain, country",hill/mountain/country,j/n
àjín,,àjènɛ́,,Earth,Earth,j/n
ðə̀ɾɔ́v ðɾɔ́v,ìɾɔ́v,ðə̀ɾɔ̀vɛ́,ìɾɔ̀vɛ́,sheaf/bundle of grass (for building roof of house),sheaf/grass.bundle.for.roof,ð/j
ðìt̪rɔ́,,ðìt̪ɾɛ́,,Tira language,Tira.language,ð
àprí,,àpríɲá,,boy,boy,j/n
lèdé,ŋèdé,lèdéɲá,ŋèdéɲá,"coconut, doleib fruit",coconut/doleib,l/ŋ
t̪òlé,,t̪òlèɲá,,lion,lion,t̪
ùɟí,lìɟí,ùɟí,lìɟí,"person, people",person,k/l
lə̀bó,ŋə̀bó,lə̀bó,,ball,ball,l
ðùɽú,rùɽú,ðùɽú,,ostrich,ostrich,ð
ŋòɽón,ɲòɽón,ŋòɽón,ɲòɽón,black squirrel,black.squirrel,ŋ/ɲ
ùðɔ́,lə̀ðɔ́,ùðɔ́,lə̀ðɔ́,worm,worm,k/l
dìjɔ́,ìrɔ́,dìjɔ́,ìrɔ́,cow,cow,r/j
cʊ̀mú,,cʊ̀mú,nàlcʊ̀mú,scorpion,scorpion,tʃ
ìlí,nìlí,ìlí,nìlí,market,market,j/n
ìɾí,ǹdrí,ìrí,ǹdrí,name,name,k/n
lʊ̀tú,ŋʊ̀tú,lʊ̀tú,ŋʊ̀tú,fist/small house (hut),fist/hut,l/ŋ
ŋùlá,,ŋùlá,,family,family,ŋ
ùlɔ́,,ùlɔ́,,flour,flour,k
ùɽɔ́,ltɔ́,ùɽɔ́,ltɔ́,guinea fowl,guinea.fowl,k/l
ɜ̀ðú,nìðú nɜ̀ðú,ɜ̀ðú,nìðú nɜ̀ðú,breast,breast,j/n
lòɾá,ŋòɾá,lòɾá,ŋòɾá,charcoal,charcoal,
ðɛ̀dú,rɛ̀dú,ðɛ̀dú,rɛ̀dú,kigelia africana (sausage tree),kigelia.africana,ð/r
lʊ̀dó,ŋʊ̀dó,lʊ̀dó,ŋʊ̀dó,sheaf/bundle of grass (general),sheaf/grass.bundle,l/ŋ
ə̀ŋná,nə̀ŋná,àŋná,nàŋná,house,house,j/n
lòró,ŋòró,lùró,ŋùró,red thorn tree,red.thorn.tree,l/ŋ
àré,nàré,àré,,table,table,j/
